Year,Montafon,,,Lech & Zurs,,Brandnertal,,,3 Taler Pass,,Landle Card,
,Tageskarte (Nova) (Hauptsaison),Saisonkarte,Saisonkarte (Vorverkauf),Tageskarte (Hauptsaison),Saisonkarte,Tageskarte (Hauptsaison),Saisonkarte,Saisonkarte (Vorverkauf),Saisonkarte,Saisonkarte (Vorverkauf),Saisonkarte,Saisonkarte (Vorverkauf)
2015,49.5,596,444,51,790,45,596,444,487,427,680,579
2014,47.5,569,424,49.5,775,NaN,409,374,475,416,665,565
2013,45.9,550,410,48,760,NaN,389,356,465,408,NaN,NaN
2012,43.9,524,390,47,745,39,377,346,NaN,NaN,NaN,NaN
2011,42,499,370,45.5,725,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2010,40.5,499,370,44.5,710,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2009,39.5,476,353,43.5,695,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2008,38.5,476,353,42.5,680,NaN,NaN,299,NaN,NaN,NaN,NaN
2007,38,NaN,339,NaN,665,NaN,NaN,269,NaN,NaN,NaN,NaN
2006,NaN,445,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2005,36,432,320,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2004,34,NaN,308,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
